Site;Date;Gaz (kWh);PE (kg);Electricité (kWh);Gaz (kWh/kg);Electricité (kWh/kg)
PTWE35;2022-12-31;0.0;0.0;0.0;;
PTWE35;2023-01-01;0.0;0.0;386.5833333333333;;
PTWE35;2023-01-02;2064.0;0.0;460.0833333333333;;
PTWE35;2023-01-03;31629.0;0.0;3582.8333333333335;;
PTWE35;2023-01-04;27939.0;9205.634;9153.666666666666;3.03498922507673;0.9943548338622485
PTWE35;2023-01-05;35864.0;9021.144;8832.333333333334;3.975548999106987;0.9790702080948196
PTWE35;2023-01-06;32124.0;10969.952000000001;8926.833333333334;2.9283628588347512;0.8137531808100285
PTWE35;2023-01-07;0.0;0.0;1048.25;;
PTWE35;2023-01-08;3315.0;0.0;468.6666666666667;;
PTWE35;2023-01-09;43435.0;12861.95;8259.333333333334;3.3770151493358314;0.6421524989082785
PTWE35;2023-01-10;42825.0;11722.13;9631.333333333334;3.6533462775109986;0.8216367958155502
PTWE35;2023-01-11;41825.0;13108.94;9635.0;3.1905707097599043;0.7349945914772666
PTWE35;2023-01-12;42229.0;11861.598;9927.5;3.5601442571228596;0.8369445668281795
PTWE35;2023-01-13;34760.0;12558.484;9883.666666666666;2.7678500048254233;0.7870111286256101
PTWE35;2023-01-14;0.0;0.0;939.1666666666666;;
PTWE35;2023-01-15;1859.0;0.0;560.1666666666666;;
PTWE35;2023-01-16;47168.0;15628.398;8239.5;3.018095648703085;0.5272133458592493
PTWE35;2023-01-17;44832.0;12414.39;9874.666666666666;3.611293023660446;0.7954210127655621
PTWE35;2023-01-18;45947.0;15465.41;11020.0;2.9709525967950414;0.7125578953289955
PTWE35;2023-01-19;43055.0;14258.63;10837.0;3.0195748118858545;0.7600309426641971
PTWE35;2023-01-20;35296.0;12449.08;10343.166666666666;2.835229591262969;0.8308378343352815
PTWE35;2023-01-21;0.0;0.0;1339.5;;
PTWE35;2023-01-22;1963.0;0.0;811.8333333333334;;
PTWE35;2023-01-23;46680.0;12243.62;9697.833333333334;3.8125979081350123;0.792072388177135
PTWE35;2023-01-24;45624.0;11409.46;11284.0;3.998786971513113;0.9890038617077408
PTWE35;2023-01-25;47778.0;13600.96;11255.833333333334;3.5128402700985815;0.8275763867648559
PTWE35;2023-01-26;33109.0;12397.76;9689.833333333334;2.6705630694577085;0.7815793605726626
PTWE35;2023-01-27;449.0;10448.52;4770.166666666667;0.04297259324765613;0.45653993739464216
PTWE35;2023-01-28;0.0;0.0;669.9166666666666;;
PTWE35;2023-01-29;3142.0;0.0;684.5833333333334;;
PTWE35;2023-01-30;48221.0;1380.72;8959.0;34.92453212816501;6.488643606234429
PTWE35;2023-01-31;48490.0;12146.91;11323.5;3.991961741710443;0.9322123898176573
PTWE35;2023-02-01;49601.0;13378.869999999999;10877.833333333334;3.7074132568744598;0.8130606944632346
PTWE35;2023-02-02;49699.0;13658.93;11509.166666666666;3.6385719818463085;0.8426111464563232
PTWE35;2023-02-03;40240.0;13442.01;10011.666666666666;2.9935999154888293;0.7448042864621188
PTWE35;2023-02-04;0.0;0.0;1188.4166666666667;;
PTWE35;2023-02-05;2222.0;0.0;542.3333333333334;;
PTWE35;2023-02-06;43669.0;12538.539999999999;8192.333333333334;3.482781886886352;0.653372189531902
PTWE35;2023-02-07;44782.0;10370.206;9564.833333333334;4.318332731288076;0.9223378333403728
PTWE35;2023-02-08;44859.0;10892.94;9572.166666666666;4.118171953577271;0.8787495998937537
PTWE35;2023-02-09;47058.0;11799.76;9720.666666666666;3.988047214519617;0.8238020660307215
PTWE35;2023-02-10;39189.0;13195.654;9468.0;2.9698414341570336;0.7175089616626807
PTWE35;2023-02-11;0.0;0.0;1165.25;;
PTWE35;2023-02-12;3160.0;0.0;541.75;;
PTWE35;2023-02-13;49481.0;12445.778;8869.5;3.9757257441037432;0.712651310347975
PTWE35;2023-02-14;47659.0;12349.06;10727.0;3.8593220860535133;0.868649111754255
PTWE35;2023-02-15;47980.0;14269.539999999999;9876.833333333334;3.362406917111554;0.6921619991487696
PTWE35;2023-02-16;41724.0;17159.72;8778.5;2.4315082064276106;0.5115759464606648
PTWE35;2023-02-17;36391.0;12414.315999999999;9610.333333333334;2.9313737462458667;0.7741331325329027
PTWE35;2023-02-18;0.0;0.0;897.75;;
PTWE35;2023-02-19;3358.0;0.0;397.25;;
PTWE35;2023-02-20;49349.0;12638.9;8966.5;3.9045328311799286;0.709436738956713
PTWE35;2023-02-21;47967.0;12433.022;10656.666666666666;3.8580322627917814;0.8571260202601318
PTWE35;2023-02-22;45619.0;13089.182;10738.5;3.4852445324696375;0.8204103205227034
