Site;Année;Semaine;Mois;Machine;Gaz (kWh);PE (kg)
PTWE35;2023;1;1;F4B;0.0;2027.338
PTWE35;2023;1;1;M1;0.0;6067.32
PTWE35;2023;1;1;M2;0.0;4435.2
PTWE35;2023;1;1;M3;0.0;3978.48
PTWE35;2023;1;1;M8;0.0;8140.792
PTWE35;2023;1;1;RM2400;0.0;1485.2
PTWE35;2023;1;1;RM4500;0.0;3062.4
PTWE35;2023;2;1;F4B;0.0;3697.11
PTWE35;2023;2;1;M1;0.0;11801.503999999999
PTWE35;2023;2;1;M2;0.0;12291.84
PTWE35;2023;2;1;M3;0.0;12176.56
PTWE35;2023;2;1;M8;0.0;12783.408
PTWE35;2023;2;1;RM2400;0.0;4887.0
PTWE35;2023;2;1;RM4500;0.0;4195.84
PTWE35;2023;3;1;F4B;0.0;3498.1
PTWE35;2023;3;1;FB;0.0;365.0
PTWE35;2023;3;1;M1;0.0;10257.696
PTWE35;2023;3;1;M2;0.0;12672.0
PTWE35;2023;3;1;M3;0.0;12176.56
PTWE35;2023;3;1;M8;0.0;20619.192
PTWE35;2023;3;1;RM2400;0.0;4140.0
PTWE35;2023;3;1;RM4500;0.0;6487.36
PTWE35;2023;4;1;F4B;0.0;2693.1
PTWE35;2023;4;1;FB;0.0;1174.0
PTWE35;2023;4;1;M1;0.0;9776.960000000001
PTWE35;2023;4;1;M2;0.0;10755.36
PTWE35;2023;4;1;M3;0.0;9280.32
PTWE35;2023;4;1;M8;0.0;12709.84
PTWE35;2023;4;1;RM2400;0.0;4252.5
PTWE35;2023;4;1;RM4500;0.0;9458.24
PTWE35;2023;5;1;F3B;0.0;499.3
PTWE35;2023;5;1;F4B;0.0;2453.5
PTWE35;2023;5;1;FB;0.0;432.0
PTWE35;2023;5;1;M1;0.0;9152.0
PTWE35;2023;5;1;M2;0.0;9757.44
PTWE35;2023;5;1;M3;0.0;9035.28
PTWE35;2023;5;1;M8;0.0;11283.36
PTWE35;2023;5;1;RM2400;0.0;2760.0
PTWE35;2023;5;1;RM4500;0.0;8634.56
PTWE35;2023;6;2;F3B;0.0;652.0
PTWE35;2023;6;2;F4B;0.0;3613.2
PTWE35;2023;6;2;FB;0.0;1204.0
PTWE35;2023;6;2;M1;0.0;9881.2
PTWE35;2023;6;2;M2;0.0;12041.92
PTWE35;2023;6;2;M3;0.0;12416.56
PTWE35;2023;6;2;M8;0.0;12087.24
PTWE35;2023;6;2;RM2400;0.0;4612.5
PTWE35;2023;6;2;RM4500;0.0;2038.08
