Site;Année;Mois;Semaine;Machine;Gaz (kWh);PE (kg)
PTWE35;2023.0;1.0;1;F4B;0.0;2027.338
PTWE35;2023.0;1.0;1;M1;0.0;6067.32
PTWE35;2023.0;1.0;1;M2;0.0;4435.2
PTWE35;2023.0;1.0;1;M3;0.0;3978.48
PTWE35;2023.0;1.0;1;M8;0.0;8140.792
PTWE35;2023.0;1.0;1;RM2400;0.0;1485.2
PTWE35;2023.0;1.0;1;RM4500;0.0;3062.4
PTWE35;2023.0;1.0;2;F4B;0.0;3697.11
PTWE35;2023.0;1.0;2;M1;0.0;11801.503999999999
PTWE35;2023.0;1.0;2;M2;0.0;12291.84
PTWE35;2023.0;1.0;2;M3;0.0;12176.56
PTWE35;2023.0;1.0;2;M8;0.0;12783.408
PTWE35;2023.0;1.0;2;RM2400;0.0;4887.0
PTWE35;2023.0;1.0;2;RM4500;0.0;4195.84
PTWE35;2023.0;1.0;3;F4B;0.0;3498.1
PTWE35;2023.0;1.0;3;FB;0.0;365.0
PTWE35;2023.0;1.0;3;M1;0.0;10257.696
PTWE35;2023.0;1.0;3;M2;0.0;12672.0
PTWE35;2023.0;1.0;3;M3;0.0;12176.56
PTWE35;2023.0;1.0;3;M8;0.0;20619.192
PTWE35;2023.0;1.0;3;RM2400;0.0;4140.0
PTWE35;2023.0;1.0;3;RM4500;0.0;6487.36
PTWE35;2023.0;1.0;4;F4B;0.0;2693.1
PTWE35;2023.0;1.0;4;FB;0.0;1174.0
PTWE35;2023.0;1.0;4;M1;0.0;9776.960000000001
PTWE35;2023.0;1.0;4;M2;0.0;10755.36
PTWE35;2023.0;1.0;4;M3;0.0;9280.32
PTWE35;2023.0;1.0;4;M8;0.0;12709.84
PTWE35;2023.0;1.0;4;RM2400;0.0;4252.5
PTWE35;2023.0;1.0;4;RM4500;0.0;9458.24
PTWE35;2023.0;1.0;5;F3B;0.0;67.15
PTWE35;2023.0;1.0;5;F4B;0.0;482.5
PTWE35;2023.0;1.0;5;FB;0.0;177.0
PTWE35;2023.0;1.0;5;M1;0.0;2247.52
PTWE35;2023.0;1.0;5;M2;0.0;2407.68
PTWE35;2023.0;1.0;5;M3;0.0;2170.08
PTWE35;2023.0;1.0;5;M8;0.0;3181.2
PTWE35;2023.0;1.0;5;RM2400;0.0;682.5
PTWE35;2023.0;1.0;5;RM4500;0.0;2112.0
PTWE35;2023.0;2.0;5;F3B;0.0;432.15
PTWE35;2023.0;2.0;5;F4B;0.0;1971.0
PTWE35;2023.0;2.0;5;FB;0.0;255.0
PTWE35;2023.0;2.0;5;M1;0.0;6904.48
PTWE35;2023.0;2.0;5;M2;0.0;7349.76
PTWE35;2023.0;2.0;5;M3;0.0;6865.2
PTWE35;2023.0;2.0;5;M8;0.0;8102.16
PTWE35;2023.0;2.0;5;RM2400;0.0;2077.5
PTWE35;2023.0;2.0;5;RM4500;0.0;6522.5599999999995
PTWE35;2023.0;2.0;6;F3B;0.0;652.0
PTWE35;2023.0;2.0;6;F4B;0.0;3613.2
PTWE35;2023.0;2.0;6;FB;0.0;1204.0
PTWE35;2023.0;2.0;6;M1;0.0;9881.2
PTWE35;2023.0;2.0;6;M2;0.0;12041.92
PTWE35;2023.0;2.0;6;M3;0.0;12416.56
PTWE35;2023.0;2.0;6;M8;0.0;12087.24
PTWE35;2023.0;2.0;6;RM2400;0.0;4612.5
PTWE35;2023.0;2.0;6;RM4500;0.0;2038.08
PTWE35;2023.0;2.0;7;F3B;0.0;861.25
PTWE35;2023.0;2.0;7;F4B;0.0;2612.0
PTWE35;2023.0;2.0;7;FB;0.0;110.0
PTWE35;2023.0;2.0;7;M1;0.0;12952.72
PTWE35;2023.0;2.0;7;M2;0.0;17991.6
PTWE35;2023.0;2.0;7;M3;0.0;8439.199999999999
PTWE35;2023.0;2.0;7;M8;0.0;14248.344
PTWE35;2023.0;2.0;7;RM2400;0.0;4792.5
PTWE35;2023.0;2.0;7;RM4500;0.0;4329.6
PTWE35;2023.0;2.0;8;F3B;0.0;679.7
PTWE35;2023.0;2.0;8;F4B;0.0;3286.5
PTWE35;2023.0;2.0;8;FB;0.0;476.0
PTWE35;2023.0;2.0;8;M1;0.0;12339.6
PTWE35;2023.0;2.0;8;M2;0.0;12798.72
PTWE35;2023.0;2.0;8;M3;0.0;11573.76
PTWE35;2023.0;2.0;8;M8;0.0;10655.24
PTWE35;2023.0;2.0;8;RM2400;0.0;5327.5
PTWE35;2023.0;2.0;8;RM4500;0.0;6561.28
PTWE35;2023.0;2.0;9;F3B;0.0;286.15
PTWE35;2023.0;2.0;9;F4B;0.0;1430.16
PTWE35;2023.0;2.0;9;M1;0.0;4010.04
PTWE35;2023.0;2.0;9;M2;0.0;3006.08
PTWE35;2023.0;2.0;9;M3;0.0;4426.4
PTWE35;2023.0;2.0;9;M8;0.0;3648.52
PTWE35;2023.0;2.0;9;RM2400;0.0;1965.0
PTWE35;2023.0;2.0;9;RM4500;0.0;2953.2799999999997
PTWE35;2023.0;3.0;9;F3B;0.0;257.9
PTWE35;2023.0;3.0;9;F4B;0.0;1647.6399999999999
PTWE35;2023.0;3.0;9;M1;0.0;4954.400000000001
PTWE35;2023.0;3.0;9;M2;0.0;5033.6
PTWE35;2023.0;3.0;9;M3;0.0;4340.16
