Site;Date de relevé;Energie consommée (kWh);Date;PE(kg);Année;Mois;KWh/Kg
PTWE35;2021-11-17;51793.0;2021-11-17;;2021;11;
PTWE42 Andrézieux;2021-11-17;5689.0;2021-11-17;;2021;11;
PTWE35;2021-11-18;47765.0;2021-11-18;;2021;11;
PTWE42 Andrézieux;2021-11-18;6334.0;2021-11-18;;2021;11;
PTWE35;2021-11-19;42752.0;2021-11-19;;2021;11;
PTWE42 Andrézieux;2021-11-19;2730.0;2021-11-19;;2021;11;
PTWE35;2021-11-20;0.0;2021-11-20;;2021;11;
PTWE42 Andrézieux;2021-11-20;0.0;2021-11-20;;2021;11;
PTWE35;2021-11-21;1790.0;2021-11-21;;2021;11;
PTWE42 Andrézieux;2021-11-21;3374.0;2021-11-21;;2021;11;
PTWE35;2021-11-22;42476.0;2021-11-22;;2021;11;
PTWE42 Andrézieux;2021-11-22;6173.0;2021-11-22;;2021;11;
PTWE35;2021-11-23;42755.0;2021-11-23;;2021;11;
PTWE42 Andrézieux;2021-11-23;5643.0;2021-11-23;;2021;11;
PTWE35;2021-11-24;42272.0;2021-11-24;;2021;11;
PTWE42 Andrézieux;2021-11-24;2983.0;2021-11-24;;2021;11;
PTWE35;2021-11-25;45296.0;2021-11-25;;2021;11;
PTWE42 Andrézieux;2021-11-25;5698.0;2021-11-25;;2021;11;
PTWE35;2021-11-26;27470.0;2021-11-26;;2021;11;
PTWE42 Andrézieux;2021-11-26;2591.0;2021-11-26;;2021;11;
PTWE35;2021-11-27;0.0;2021-11-27;;2021;11;
PTWE42 Andrézieux;2021-11-27;0.0;2021-11-27;;2021;11;
PTWE35;2021-11-28;2183.0;2021-11-28;;2021;11;
PTWE42 Andrézieux;2021-11-28;2087.0;2021-11-28;;2021;11;
PTWE35;2021-11-29;41918.0;2021-11-29;;2021;11;
PTWE42 Andrézieux;2021-11-29;6948.0;2021-11-29;;2021;11;
PTWE35;2021-11-30;40927.0;2021-11-30;;2021;11;
PTWE42 Andrézieux;2021-11-30;4815.0;2021-11-30;;2021;11;
PTWE35;2021-12-01;36463.0;2021-12-01;;2021;12;
PTWE42 Andrézieux;2021-12-01;6673.0;2021-12-01;;2021;12;
PTWE35;2021-12-02;35422.0;2021-12-02;;2021;12;
PTWE42 Andrézieux;2021-12-02;6375.0;2021-12-02;;2021;12;
PTWE35;2021-12-03;31638.0;2021-12-03;;2021;12;
PTWE42 Andrézieux;2021-12-03;2763.0;2021-12-03;;2021;12;
PTWE35;2021-12-04;0.0;2021-12-04;;2021;12;
PTWE42 Andrézieux;2021-12-04;0.0;2021-12-04;;2021;12;
PTWE35;2021-12-05;3085.0;2021-12-05;;2021;12;
PTWE42 Andrézieux;2021-12-05;2763.0;2021-12-05;;2021;12;
PTWE35;2021-12-06;44482.0;2021-12-06;;2021;12;
PTWE42 Andrézieux;2021-12-06;4575.0;2021-12-06;;2021;12;
PTWE35;2021-12-07;44183.0;2021-12-07;;2021;12;
PTWE42 Andrézieux;2021-12-07;2843.0;2021-12-07;;2021;12;
PTWE35;2021-12-08;45974.0;2021-12-08;;2021;12;
PTWE42 Andrézieux;2021-12-08;2797.0;2021-12-08;;2021;12;
PTWE35;2021-12-09;39697.0;2021-12-09;;2021;12;
PTWE42 Andrézieux;2021-12-09;3715.0;2021-12-09;;2021;12;
PTWE35;2021-12-10;39787.0;2021-12-10;;2021;12;
PTWE42 Andrézieux;2021-12-10;1502.0;2021-12-10;;2021;12;
PTWE35;2021-12-11;0.0;2021-12-11;;2021;12;
PTWE42 Andrézieux;2021-12-11;0.0;2021-12-11;;2021;12;
PTWE35;2021-12-12;2531.0;2021-12-12;;2021;12;
PTWE42 Andrézieux;2021-12-12;2201.0;2021-12-12;;2021;12;
PTWE35;2021-12-13;43069.0;2021-12-13;;2021;12;
PTWE42 Andrézieux;2021-12-13;3955.0;2021-12-13;;2021;12;
PTWE35;2021-12-14;43734.0;2021-12-14;;2021;12;
PTWE42 Andrézieux;2021-12-14;5297.0;2021-12-14;;2021;12;
PTWE35;2021-12-15;32900.0;2021-12-15;;2021;12;
PTWE42 Andrézieux;2021-12-15;6145.0;2021-12-15;;2021;12;
PTWE35;2021-12-16;32314.0;2021-12-16;;2021;12;
PTWE42 Andrézieux;2021-12-16;6248.0;2021-12-16;;2021;12;
PTWE35;2021-12-17;26111.0;2021-12-17;;2021;12;
PTWE42 Andrézieux;2021-12-17;3153.0;2021-12-17;;2021;12;
PTWE35;2021-12-18;0.0;2021-12-18;;2021;12;
PTWE42 Andrézieux;2021-12-18;0.0;2021-12-18;;2021;12;
PTWE35;2021-12-19;0.0;2021-12-19;;2021;12;
PTWE42 Andrézieux;2021-12-19;2557.0;2021-12-19;;2021;12;
PTWE35;2021-12-20;162.0;2021-12-20;;2021;12;
PTWE42 Andrézieux;2021-12-20;6283.0;2021-12-20;;2021;12;
PTWE35;2021-12-21;116.0;2021-12-21;;2021;12;
PTWE42 Andrézieux;2021-12-21;5583.0;2021-12-21;;2021;12;
PTWE35;2021-12-22;646.0;2021-12-22;;2021;12;
PTWE42 Andrézieux;2021-12-22;4804.0;2021-12-22;;2021;12;
PTWE35;2021-12-23;1069.0;2021-12-23;;2021;12;
PTWE42 Andrézieux;2021-12-23;2889.0;2021-12-23;;2021;12;
PTWE35;2021-12-24;0.0;2021-12-24;;2021;12;
PTWE42 Andrézieux;2021-12-24;0.0;2021-12-24;;2021;12;
PTWE35;2021-12-25;0.0;2021-12-25;;2021;12;
PTWE42 Andrézieux;2021-12-25;0.0;2021-12-25;;2021;12;
PTWE35;2021-12-26;0.0;2021-12-26;;2021;12;
PTWE42 Andrézieux;2021-12-26;0.0;2021-12-26;;2021;12;
PTWE35;2021-12-27;0.0;2021-12-27;;2021;12;
PTWE42 Andrézieux;2021-12-27;0.0;2021-12-27;;2021;12;
PTWE35;2021-12-28;0.0;2021-12-28;;2021;12;
PTWE42 Andrézieux;2021-12-28;0.0;2021-12-28;;2021;12;
PTWE35;2021-12-29;0.0;2021-12-29;;2021;12;
PTWE42 Andrézieux;2021-12-29;0.0;2021-12-29;;2021;12;
PTWE35;2021-12-30;0.0;2021-12-30;;2021;12;
PTWE42 Andrézieux;2021-12-30;0.0;2021-12-30;;2021;12;
PTWE35;2021-12-31;0.0;2021-12-31;;2021;12;
PTWE42 Andrézieux;2021-12-31;0.0;2021-12-31;;2021;12;
PTWE35;2023-01-01;0.0;2023-01-01;;2023;1;
PTWE42 Andrézieux;2023-01-01;0.0;2023-01-01;;2023;1;
PTWE89;2023-01-01;0.0;2023-01-01;;2023;1;
PTWE35;2023-01-02;2064.0;2023-01-02;;2023;1;
PTWE42 Andrézieux;2023-01-02;571.0;2023-01-02;;2023;1;
PTWE89;2023-01-02;0.0;2023-01-02;;2023;1;
PTWE35;2023-01-03;31629.0;2023-01-03;;2023;1;
PTWE42 Andrézieux;2023-01-03;6705.0;2023-01-03;;2023;1;
PTWE89;2023-01-03;2320.0;2023-01-03;;2023;1;
