Date;Site;Gaz (kWh);PE (kg);Electricité (kWh);Gaz (kWh/kg);Electricité (kWh/kg)
2021-11-17;PTWE35;51793.0;0.0;0.0;;
2021-11-17;PTWE42 Andrézieux;5689.0;0.0;0.0;;
2021-11-18;PTWE35;47765.0;0.0;0.0;;
2021-11-18;PTWE42 Andrézieux;6334.0;0.0;0.0;;
2021-11-19;PTWE35;42752.0;0.0;0.0;;
2021-11-19;PTWE42 Andrézieux;2730.0;0.0;0.0;;
2021-11-20;PTWE35;0.0;0.0;0.0;;
2021-11-20;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-11-21;PTWE35;1790.0;0.0;0.0;;
2021-11-21;PTWE42 Andrézieux;3374.0;0.0;0.0;;
2021-11-22;PTWE35;42476.0;0.0;0.0;;
2021-11-22;PTWE42 Andrézieux;6173.0;0.0;0.0;;
2021-11-23;PTWE35;42755.0;0.0;0.0;;
2021-11-23;PTWE42 Andrézieux;5643.0;0.0;0.0;;
2021-11-24;PTWE35;42272.0;0.0;0.0;;
2021-11-24;PTWE42 Andrézieux;2983.0;0.0;0.0;;
2021-11-25;PTWE35;45296.0;0.0;0.0;;
2021-11-25;PTWE42 Andrézieux;5698.0;0.0;0.0;;
2021-11-26;PTWE35;27470.0;0.0;0.0;;
2021-11-26;PTWE42 Andrézieux;2591.0;0.0;0.0;;
2021-11-27;PTWE35;0.0;0.0;0.0;;
2021-11-27;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-11-28;PTWE35;2183.0;0.0;0.0;;
2021-11-28;PTWE42 Andrézieux;2087.0;0.0;0.0;;
2021-11-29;PTWE35;41918.0;0.0;0.0;;
2021-11-29;PTWE42 Andrézieux;6948.0;0.0;0.0;;
2021-11-30;PTWE35;40927.0;0.0;0.0;;
2021-11-30;PTWE42 Andrézieux;4815.0;0.0;0.0;;
2021-12-01;PTWE35;36463.0;0.0;0.0;;
2021-12-01;PTWE42 Andrézieux;6673.0;0.0;0.0;;
2021-12-02;PTWE35;35422.0;0.0;0.0;;
2021-12-02;PTWE42 Andrézieux;6375.0;0.0;0.0;;
2021-12-03;PTWE35;31638.0;0.0;0.0;;
2021-12-03;PTWE42 Andrézieux;2763.0;0.0;0.0;;
2021-12-04;PTWE35;0.0;0.0;0.0;;
2021-12-04;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-05;PTWE35;3085.0;0.0;0.0;;
2021-12-05;PTWE42 Andrézieux;2763.0;0.0;0.0;;
2021-12-06;PTWE35;44482.0;0.0;0.0;;
2021-12-06;PTWE42 Andrézieux;4575.0;0.0;0.0;;
2021-12-07;PTWE35;44183.0;0.0;0.0;;
2021-12-07;PTWE42 Andrézieux;2843.0;0.0;0.0;;
2021-12-08;PTWE35;45974.0;0.0;0.0;;
2021-12-08;PTWE42 Andrézieux;2797.0;0.0;0.0;;
2021-12-09;PTWE35;39697.0;0.0;0.0;;
2021-12-09;PTWE42 Andrézieux;3715.0;0.0;0.0;;
2021-12-10;PTWE35;39787.0;0.0;0.0;;
2021-12-10;PTWE42 Andrézieux;1502.0;0.0;0.0;;
2021-12-11;PTWE35;0.0;0.0;0.0;;
2021-12-11;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-12;PTWE35;2531.0;0.0;0.0;;
2021-12-12;PTWE42 Andrézieux;2201.0;0.0;0.0;;
2021-12-13;PTWE35;43069.0;0.0;0.0;;
2021-12-13;PTWE42 Andrézieux;3955.0;0.0;0.0;;
2021-12-14;PTWE35;43734.0;0.0;0.0;;
2021-12-14;PTWE42 Andrézieux;5297.0;0.0;0.0;;
2021-12-15;PTWE35;32900.0;0.0;0.0;;
2021-12-15;PTWE42 Andrézieux;6145.0;0.0;0.0;;
2021-12-16;PTWE35;32314.0;0.0;0.0;;
2021-12-16;PTWE42 Andrézieux;6248.0;0.0;0.0;;
2021-12-17;PTWE35;26111.0;0.0;0.0;;
2021-12-17;PTWE42 Andrézieux;3153.0;0.0;0.0;;
2021-12-18;PTWE35;0.0;0.0;0.0;;
2021-12-18;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-19;PTWE35;0.0;0.0;0.0;;
2021-12-19;PTWE42 Andrézieux;2557.0;0.0;0.0;;
2021-12-20;PTWE35;162.0;0.0;0.0;;
2021-12-20;PTWE42 Andrézieux;6283.0;0.0;0.0;;
2021-12-21;PTWE35;116.0;0.0;0.0;;
2021-12-21;PTWE42 Andrézieux;5583.0;0.0;0.0;;
2021-12-22;PTWE35;646.0;0.0;0.0;;
2021-12-22;PTWE42 Andrézieux;4804.0;0.0;0.0;;
2021-12-23;PTWE35;1069.0;0.0;0.0;;
2021-12-23;PTWE42 Andrézieux;2889.0;0.0;0.0;;
2021-12-24;PTWE35;0.0;0.0;0.0;;
2021-12-24;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-25;PTWE35;0.0;0.0;0.0;;
2021-12-25;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-26;PTWE35;0.0;0.0;0.0;;
2021-12-26;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-27;PTWE35;0.0;0.0;0.0;;
2021-12-27;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-28;PTWE35;0.0;0.0;0.0;;
2021-12-28;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-29;PTWE35;0.0;0.0;0.0;;
2021-12-29;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-30;PTWE35;0.0;0.0;0.0;;
2021-12-30;PTWE42 Andrézieux;0.0;0.0;0.0;;
2021-12-31;PTWE35;0.0;0.0;0.0;;
2021-12-31;PTWE42 Andrézieux;0.0;0.0;0.0;;
2022-01-01;PTWE35;0.0;41.4;0.0;;
2022-01-01;PTWE42 Andrézieux;0.0;0.0;0.0;;
2022-01-02;PTWE35;1570.0;0.0;0.0;;
2022-01-02;PTWE42 Andrézieux;1163.0;0.0;0.0;;
2022-01-03;PTWE35;43741.0;0.0;0.0;;
2022-01-03;PTWE42 Andrézieux;3213.0;0.0;0.0;;
2022-01-04;PTWE35;46019.0;10390.26;0.0;4.429051823534733;
2022-01-04;PTWE42 Andrézieux;1647.0;3691.6;0.0;0.44614801170224294;
2022-01-05;PTWE35;44839.0;12583.34;0.0;3.563362350536503;
2022-01-05;PTWE42 Andrézieux;2683.0;0.0;0.0;;
2022-01-06;PTWE35;49027.0;11168.24;0.0;4.389859100449131;
2022-01-06;PTWE42 Andrézieux;3847.0;0.0;0.0;;
2022-01-07;PTWE35;44348.0;11581.52;0.0;3.829203765999627;
2022-01-07;PTWE42 Andrézieux;3064.0;3314.2;0.0;0.9245066682759038;
2022-01-08;PTWE35;0.0;0.0;0.0;;
2022-01-08;PTWE42 Andrézieux;0.0;0.0;0.0;;
2022-01-09;PTWE35;2707.0;0.0;0.0;;
2022-01-09;PTWE42 Andrézieux;1359.0;0.0;0.0;;
2022-01-10;PTWE35;52961.0;13073.66;0.0;4.0509696596056495;
2022-01-10;PTWE42 Andrézieux;3996.0;1764.8;0.0;2.2642792384406167;
2022-01-11;PTWE35;54028.0;12698.82;0.0;4.254568534714249;
2022-01-11;PTWE42 Andrézieux;4204.0;0.0;0.0;;
2022-01-12;PTWE35;49800.0;13511.8;0.0;3.6856673426190443;
2022-01-12;PTWE42 Andrézieux;4515.0;0.0;0.0;;
2022-01-13;PTWE35;49727.0;12502.27;0.0;3.9774376973141674;
2022-01-13;PTWE42 Andrézieux;4664.0;5146.6;0.0;0.9062293553025298;
2022-01-14;PTWE35;40488.0;14259.11;0.0;2.8394479038313047;
2022-01-14;PTWE42 Andrézieux;2073.0;0.0;0.0;;
2022-01-15;PTWE35;0.0;0.0;0.0;;
2022-01-15;PTWE42 Andrézieux;0.0;0.0;0.0;;
2022-01-16;PTWE35;4278.0;0.0;0.0;;
2022-01-16;PTWE42 Andrézieux;1394.0;0.0;0.0;;
2022-01-17;PTWE35;51409.0;13737.932;0.0;3.7421207209352905;
2022-01-17;PTWE42 Andrézieux;4411.0;3325.0;0.0;1.3266165413533835;
2022-01-18;PTWE35;46052.0;13101.253999999999;0.0;3.5150833653022837;
2022-01-18;PTWE42 Andrézieux;4215.0;1636.0;0.0;2.57640586797066;
2022-01-19;PTWE35;47259.0;12561.14;0.0;3.7623177514142827;
2022-01-19;PTWE42 Andrézieux;2626.0;1382.5;0.0;1.8994575045207958;
2022-01-20;PTWE35;40128.0;15909.25;0.0;2.5223062055093735;
2022-01-20;PTWE42 Andrézieux;3179.0;2639.5;0.0;1.2043947717370713;
2022-01-21;PTWE35;0.0;12268.93;0.0;;
2022-01-21;PTWE42 Andrézieux;1359.0;0.0;0.0;;
2022-01-22;PTWE35;0.0;0.0;0.0;;
2022-01-22;PTWE42 Andrézieux;0.0;0.0;0.0;;
2022-01-23;PTWE35;1794.0;0.0;0.0;;
2022-01-23;PTWE42 Andrézieux;1486.0;0.0;0.0;;
2022-01-24;PTWE35;50776.0;0.0;0.0;;
2022-01-24;PTWE42 Andrézieux;6139.0;937.0;0.0;6.551760939167556;
2022-01-25;PTWE35;45325.0;11694.11;0.0;3.875882816221157;
2022-01-25;PTWE42 Andrézieux;5563.0;0.0;0.0;;
2022-01-26;PTWE35;48511.0;10737.7;0.0;4.5178203898413996;
2022-01-26;PTWE42 Andrézieux;5551.0;5205.5;0.0;1.0663721064258957;
2022-01-27;PTWE35;49295.0;11832.11;0.0;4.166205351370127;
2022-01-27;PTWE42 Andrézieux;4763.0;2302.5;0.0;2.0686210640608036;
2022-01-28;PTWE35;44114.0;12992.155999999999;0.0;3.395433367641214;
2022-01-28;PTWE42 Andrézieux;3477.0;2047.5;0.0;1.6981684981684981;
2022-01-29;PTWE35;0.0;12825.98;0.0;;
2022-01-29;PTWE42 Andrézieux;0.0;2083.5;0.0;;
2022-01-30;PTWE35;2356.0;0.0;0.0;;
2022-01-30;PTWE42 Andrézieux;1391.0;0.0;0.0;;
2022-01-31;PTWE35;47237.0;0.0;0.0;;
2022-01-31;PTWE42 Andrézieux;5586.0;0.0;0.0;;
2022-02-01;PTWE35;38741.0;11152.48;0.0;3.473756509762851;
2022-02-01;PTWE42 Andrézieux;5644.0;0.0;0.0;;
2022-02-02;PTWE35;49543.0;9965.39;0.0;4.971506383593618;
2022-02-02;PTWE42 Andrézieux;5076.0;4937.5;0.0;1.0280506329113923;
2022-02-03;PTWE35;49886.0;12670.220000000001;0.0;3.93726391491229;
2022-02-03;PTWE42 Andrézieux;4879.0;0.0;0.0;;
2022-02-04;PTWE35;41655.0;12560.07;0.0;3.3164624082509095;
2022-02-04;PTWE42 Andrézieux;2399.0;0.0;0.0;;
2022-02-05;PTWE35;0.0;0.0;0.0;;
2022-02-05;PTWE42 Andrézieux;0.0;5222.6;0.0;;
2022-02-06;PTWE35;1841.0;0.0;0.0;;
2022-02-06;PTWE42 Andrézieux;1425.0;0.0;0.0;;
2022-02-07;PTWE35;46069.0;11847.08;0.0;3.888637537688612;
