Site;Année;Semaine;Mois;Machine;Gaz (kWh);PE (kg)
PTWE35;2023;1;1;F4B;0.0;2757.0480000000002
PTWE35;2023;1;1;M1;0.0;8314.84
PTWE35;2023;1;1;M2;0.0;6462.72
PTWE35;2023;1;1;M3;0.0;6148.5599999999995
PTWE35;2023;1;1;M8;0.0;11822.712
PTWE35;2023;1;1;RM2400;0.0;2553.2
PTWE35;2023;1;1;RM4500;0.0;3879.04
PTWE35;2023;2;1;F4B;0.0;3685.45
PTWE35;2023;2;1;M1;0.0;11743.599999999999
PTWE35;2023;2;1;M2;0.0;12798.72
PTWE35;2023;2;1;M3;0.0;12538.239999999998
PTWE35;2023;2;1;M8;0.0;11351.560000000001
PTWE35;2023;2;1;RM2400;0.0;4801.5
PTWE35;2023;2;1;RM4500;0.0;3379.2
PTWE35;2023;3;1;F4B;0.0;3277.65
PTWE35;2023;3;1;FB;0.0;365.0
PTWE35;2023;3;1;M1;0.0;10628.880000000001
PTWE35;2023;3;1;M2;0.0;11784.96
PTWE35;2023;3;1;M3;0.0;11694.32
PTWE35;2023;3;1;M8;0.0;21727.2
PTWE35;2023;3;1;RM2400;0.0;4050.0
PTWE35;2023;3;1;RM4500;0.0;7712.32
PTWE35;2023;4;1;F4B;0.0;2195.5
PTWE35;2023;4;1;FB;0.0;1174.0
PTWE35;2023;4;1;M1;0.0;7216.16
PTWE35;2023;4;1;M2;0.0;9108.0
PTWE35;2023;4;1;M3;0.0;7230.799999999999
PTWE35;2023;4;1;M8;0.0;9351.76
PTWE35;2023;4;1;RM2400;0.0;3360.0
PTWE35;2023;4;1;RM4500;0.0;8233.28
PTWE35;2023;5;1;F3B;0.0;652.3
PTWE35;2023;5;1;F4B;0.0;4024.844
PTWE35;2023;5;1;FB;0.0;712.0
PTWE35;2023;5;1;M1;0.0;13754.4
PTWE35;2023;5;1;M2;0.0;14319.36
PTWE35;2023;5;1;M3;0.0;13857.68
PTWE35;2023;5;1;M8;0.0;17257.68
PTWE35;2023;5;1;RM2400;0.0;4005.0
PTWE35;2023;5;1;RM4500;0.0;11235.84
PTWE35;2023;6;2;F3B;0.0;659.35
PTWE35;2023;6;2;F4B;0.0;3702.7
PTWE35;2023;6;2;FB;0.0;1169.0
PTWE35;2023;6;2;M1;0.0;10108.240000000002
PTWE35;2023;6;2;M2;0.0;15207.28
PTWE35;2023;6;2;M3;0.0;10125.92
PTWE35;2023;6;2;M8;0.0;12417.328
PTWE35;2023;6;2;RM2400;0.0;5085.0
PTWE35;2023;6;2;RM4500;0.0;580.8
PTWE35;2023;7;2;F3B;0.0;826.8
PTWE35;2023;7;2;F4B;0.0;2342.5
PTWE35;2023;7;2;M1;0.0;12993.2
PTWE35;2023;7;2;M2;0.0;15459.84
PTWE35;2023;7;2;M3;0.0;10970.96
PTWE35;2023;7;2;M8;0.0;12217.568
PTWE35;2023;7;2;RM2400;0.0;4777.5
PTWE35;2023;7;2;RM4500;0.0;5033.6
PTWE35;2023;8;2;F3B;0.0;632.7
PTWE35;2023;8;2;F4B;0.0;2821.5
PTWE35;2023;8;2;FB;0.0;476.0
PTWE35;2023;8;2;M1;0.0;10030.48
PTWE35;2023;8;2;M2;0.0;10137.6
PTWE35;2023;8;2;M3;0.0;9042.0
PTWE35;2023;8;2;M8;0.0;9655.208
PTWE35;2023;8;2;RM2400;0.0;4315.0
PTWE35;2023;8;2;RM4500;0.0;5857.28
PTWE35;2023;9;2;F3B;0.0;544.05
PTWE35;2023;9;2;F4B;0.0;3077.8
PTWE35;2023;9;2;M1;0.0;8964.44
PTWE35;2023;9;2;M2;0.0;8039.679999999999
PTWE35;2023;9;2;M3;0.0;8766.56
PTWE35;2023;9;2;M8;0.0;8940.84
PTWE35;2023;9;2;RM2400;0.0;3997.5
PTWE35;2023;9;2;RM4500;0.0;5818.5599999999995
PTWE35;2023;10;3;F3B;0.0;767.45
PTWE35;2023;10;3;F4B;0.0;4702.8
PTWE35;2023;10;3;FB;0.0;1454.0
PTWE35;2023;10;3;M1;0.0;10657.24
PTWE35;2023;10;3;M2;0.0;11531.52
PTWE35;2023;10;3;M3;0.0;11212.08
PTWE35;2023;10;3;M8;0.0;15511.672
PTWE35;2023;10;3;RM2400;0.0;4432.5
PTWE35;2023;10;3;RM4500;0.0;6955.52
PTWE35;2023;11;3;F3B;0.0;1191.15
PTWE35;2023;11;3;F4B;0.0;4505.900000000001
PTWE35;2023;11;3;FB;0.0;1723.0
PTWE35;2023;11;3;M1;0.0;8596.08
PTWE35;2023;11;3;M2;0.0;12418.56
PTWE35;2023;11;3;M3;0.0;11814.88
PTWE35;2023;11;3;M8;0.0;12046.232
PTWE35;2023;11;3;RM2400;0.0;4207.5
PTWE35;2023;11;3;RM4500;0.0;6663.360000000001
PTWE35;2023;12;3;F3B;0.0;902.5999999999999
PTWE35;2023;12;3;F4B;0.0;3207.0
PTWE35;2023;12;3;FB;0.0;1175.0
PTWE35;2023;12;3;M1;0.0;8073.384
PTWE35;2023;12;3;M2;0.0;8363.52
PTWE35;2023;12;3;M3;0.0;9644.8
PTWE35;2023;12;3;M8;0.0;12698.4
PTWE35;2023;12;3;RM2400;0.0;3495.0
PTWE35;2023;12;3;RM4500;0.0;4449.28
PTWE35;2023;13;3;F3B;0.0;1384.25
PTWE35;2023;13;3;F4B;0.0;4170.1
PTWE35;2023;13;3;FB;0.0;819.0
PTWE35;2023;13;3;M1;0.0;10284.4
PTWE35;2023;13;3;M2;0.0;12165.119999999999
PTWE35;2023;13;3;M3;0.0;9885.92
PTWE35;2023;13;3;M8;0.0;13233.088
PTWE35;2023;13;3;RM2400;0.0;4658.5
PTWE35;2023;13;3;RM4500;0.0;4392.96
PTWE35;2023;14;4;F3B;0.0;1475.7
PTWE35;2023;14;4;F4B;0.0;3965.2000000000003
PTWE35;2023;14;4;FB;0.0;897.5
PTWE35;2023;14;4;M1;0.0;8055.5199999999995
PTWE35;2023;14;4;M2;0.0;10644.48
PTWE35;2023;14;4;M3;0.0;9283.119999999999
PTWE35;2023;14;4;M8;0.0;7584.016
PTWE35;2023;14;4;RM2400;0.0;3856.5
PTWE35;2023;14;4;RM4500;0.0;4565.4400000000005
PTWE35;2023;15;4;F3B;0.0;546.9
PTWE35;2023;15;4;F4B;0.0;2987.5
PTWE35;2023;15;4;FB;0.0;735.0
PTWE35;2023;15;4;M1;0.0;7570.120000000001
PTWE35;2023;15;4;M2;0.0;8363.52
PTWE35;2023;15;4;M3;0.0;7595.28
PTWE35;2023;15;4;M8;0.0;7047.216
PTWE35;2023;15;4;RM2400;0.0;3172.0
PTWE35;2023;15;4;RM4500;0.0;3456.64
PTWE35;2023;16;4;F3B;0.0;523.25
PTWE35;2023;16;4;F4B;0.0;4035.0559999999996
PTWE35;2023;16;4;M1;0.0;10529.296
PTWE35;2023;16;4;M2;0.0;11151.36
PTWE35;2023;16;4;M3;0.0;8559.76
PTWE35;2023;16;4;M8;0.0;9871.664
PTWE35;2023;16;4;RM2400;0.0;2871.9
PTWE35;2023;16;4;RM4500;0.0;7849.6
PTWE35;2023;17;4;F3B;0.0;821.01
PTWE35;2023;17;4;F4B;0.0;3075.75
PTWE35;2023;17;4;M1;0.0;7774.576
PTWE35;2023;17;4;M2;0.0;6209.28
PTWE35;2023;17;4;M3;0.0;8680.32
PTWE35;2023;17;4;M8;0.0;12000.119999999999
