Site;Machine;Date;PE (kg)
PTWE35;F3B;2023-01-31;67.15
PTWE35;F3B;2023-02-01;141.25
PTWE35;F3B;2023-02-02;133.45
PTWE35;F3B;2023-02-03;157.45
PTWE35;F3B;2023-02-06;74.1
PTWE35;F3B;2023-02-07;147.25
PTWE35;F3B;2023-02-08;142.9
PTWE35;F3B;2023-02-09;130.3
PTWE35;F3B;2023-02-10;157.45
PTWE35;F3B;2023-02-13;81.45
PTWE35;F3B;2023-02-14;144.5
PTWE35;F3B;2023-02-15;169.7
PTWE35;F3B;2023-02-16;237.4
PTWE35;F3B;2023-02-17;228.2
PTWE35;F3B;2023-02-20;113.0
PTWE35;F3B;2023-02-21;137.95
PTWE35;F3B;2023-02-22;125.65
PTWE35;F3B;2023-02-23;155.75
PTWE35;F3B;2023-02-24;147.35
PTWE35;F3B;2023-02-28;286.15
PTWE35;F3B;2023-03-02;146.7
PTWE35;F3B;2023-03-03;111.2
PTWE35;F3B;2023-03-06;92.4
PTWE35;F3B;2023-03-07;438.75
PTWE35;F3B;2023-03-08;139.65
PTWE35;F3B;2023-03-09;138.25
PTWE35;F3B;2023-03-10;173.0
PTWE35;F3B;2023-03-13;156.8
PTWE35;F3B;2023-03-14;244.05
PTWE35;F3B;2023-03-15;316.55
PTWE35;F3B;2023-03-16;260.75
PTWE35;F3B;2023-03-17;251.6
PTWE35;F3B;2023-03-20;118.2
PTWE35;F3B;2023-03-21;300.7
PTWE35;F3B;2023-03-22;261.45
PTWE35;F3B;2023-03-23;104.0
PTWE35;F3B;2023-03-24;236.45
PTWE35;F3B;2023-03-28;248.0
PTWE35;F3B;2023-03-29;172.2
PTWE35;F3B;2023-03-30;341.3
PTWE35;F3B;2023-03-31;341.35
PTWE35;F3B;2023-04-01;281.4
PTWE35;F3B;2023-04-04;335.1
PTWE35;F3B;2023-04-05;190.5
PTWE35;F3B;2023-04-06;366.25
PTWE35;F3B;2023-04-07;285.9
PTWE35;F3B;2023-04-11;297.95
PTWE35;F3B;2023-04-12;296.5
PTWE35;F3B;2023-04-13;107.15
PTWE35;F3B;2023-04-14;143.25
PTWE35;F3B;2023-04-18;137.25
PTWE35;F3B;2023-04-19;115.25
PTWE35;F3B;2023-04-20;126.5
PTWE35;F3B;2023-04-21;126.25
PTWE35;F3B;2023-04-24;18.0
PTWE35;F3B;2023-04-25;287.64
PTWE35;F3B;2023-04-26;264.97
PTWE35;F3B;2023-04-27;89.6
PTWE35;F3B;2023-04-28;178.8
PTWE35;F3B;2023-05-03;165.57999999999998
PTWE35;F3B;2023-05-04;127.72
PTWE35;F3B;2023-05-05;268.245
PTWE35;F3B;2023-05-09;339.56
PTWE35;F3B;2023-05-10;184.78
PTWE35;F3B;2023-05-11;294.08
PTWE35;F3B;2023-05-12;207.35
PTWE35;F3B;2023-05-15;200.87
PTWE35;F3B;2023-05-16;141.4
PTWE35;F3B;2023-05-17;127.4
PTWE35;F3B;2023-05-22;141.4
PTWE35;F3B;2023-05-23;189.35
PTWE35;F3B;2023-05-24;188.85
PTWE35;F3B;2023-05-25;237.15
PTWE35;F3B;2023-05-26;124.65
PTWE35;F3B;2023-05-30;201.65
PTWE35;F3B;2023-05-31;208.15
PTWE35;F3B;2023-06-01;426.13
PTWE35;F3B;2023-06-02;426.13
PTWE35;F3B;2023-06-03;368.27
PTWE35;F3B;2023-06-06;675.25
